"Date","Excel Time","CT Enable (2)","CT Enable (3)","CT Enable (4)","CT Enable (5)","CT Enable (6)","CT Enable (7)","CT Enable (8)","CT Enable (9)","CT Enable"
"7/5/2018 09:16:33.210 PM PDT","43286.88649548611","","","0","","","","","",""
"7/5/2018 09:16:33.250 PM PDT","43286.886495949075","","","","0","","","","",""
"7/5/2018 09:32:04.830 PM PDT","43286.897278125005","","","","","1","","","",""
"7/5/2018 09:32:04.840 PM PDT","43286.897278240736","","","","","","","","1",""
"7/5/2018 09:32:05.170 PM PDT","43286.897282060185","","","","","","","","","1"
"7/5/2018 09:32:05.200 PM PDT","43286.89728240741","1","","","","","","","",""
"7/5/2018 09:32:05.280 PM PDT","43286.89728333333","","","1","","","","","",""
"7/5/2018 09:32:05.320 PM PDT","43286.897283796294","","","","1","","","","",""
"7/5/2018 09:32:09.940 PM PDT","43286.897337268514","","","","","","1","","",""
"7/5/2018 09:32:09.950 PM PDT","43286.89733738426","","","","","","","1","",""
"7/5/2018 09:32:10.360 PM PDT","43286.897342129625","","1","","","","","","",""
"7/6/2018 08:21:31 AM PDT","43287.348275462966","","","","","0","0","0","",""
"7/6/2018 08:21:31.010 AM PDT","43287.348275578704","","","","","","","","0",""
"7/6/2018 08:21:31.240 AM PDT","43287.34827824074","","","","","","","","","0"
"7/6/2018 08:21:31.280 AM PDT","43287.34827870371","0","","","","","","","",""
"7/6/2018 08:21:31.320 AM PDT","43287.34827916667","","0","","","","","","",""
"7/6/2018 08:21:31.350 AM PDT","43287.348279513884","","","0","","","","","",""
"7/6/2018 08:21:31.390 AM PDT","43287.34827997685","","","","0","","","","",""
"7/6/2018 06:02:49.820 PM PDT","43287.75196550926","","","","","1","","","",""
"7/6/2018 06:02:49.830 PM PDT","43287.751965625","","","","","","","","1",""
"7/6/2018 06:02:50.160 PM PDT","43287.75196944445","","","","","","","","","1"
"7/6/2018 06:02:50.200 PM PDT","43287.751969907404","1","","","","","","","",""
"7/6/2018 06:02:50.270 PM PDT","43287.751970717596","","","1","","","","","",""
"7/6/2018 06:02:50.310 PM PDT","43287.75197118055","","","","1","","","","",""
"7/6/2018 06:02:54.920 PM PDT","43287.75202453704","","","","","","1","1","",""
"7/6/2018 06:02:55.340 PM PDT","43287.75202939815","","1","","","","","","",""
"7/6/2018 09:16:21.010 PM PDT","43287.88635428241","","","","","0","0","0","",""
"7/6/2018 09:16:21.020 PM PDT","43287.88635439815","","","","","","","","0",""
"7/6/2018 09:16:21.110 PM PDT","43287.88635543981","","","","","","","","","0"
"7/6/2018 09:16:21.140 PM PDT","43287.886355787035","0","","","","","","","",""
"7/6/2018 09:16:21.180 PM PDT","43287.886356250005","","0","","","","","","",""
"7/6/2018 09:16:21.220 PM PDT","43287.88635671296","","","0","","","","","",""
"7/6/2018 09:16:21.250 PM PDT","43287.88635706018","","","","0","","","","",""
"7/6/2018 09:31:51.190 PM PDT","43287.89712025463","","","","","","","","1",""
"7/6/2018 09:31:51.260 PM PDT","43287.897121064816","","","","","1","","","",""
"7/6/2018 09:31:51.890 PM PDT","43287.89712835648","","","","","","","","","1"
"7/6/2018 09:31:51.930 PM PDT","43287.897128819444","1","","","","","","","",""
"7/6/2018 09:31:52.010 PM PDT","43287.89712974537","","","1","","","","","",""
"7/6/2018 09:31:52.040 PM PDT","43287.89713009259","","","","1","","","","",""
"7/6/2018 09:31:57.100 PM PDT","43287.89718865741","","","","","","","1","",""
"7/6/2018 09:31:57.180 PM PDT","43287.89718958334","","","","","","1","","",""
"7/6/2018 09:31:57.910 PM PDT","43287.897198032406","","1","","","","","","",""
"7/7/2018 07:51:22 AM PDT","43288.32733796297","","","","","","","","0",""
"7/7/2018 07:51:22.070 AM PDT","43288.327338773146","","","","","0","","","",""
"7/7/2018 07:51:22.080 AM PDT","43288.32733888889","","","","","","0","0","","0"
"7/7/2018 07:51:22.120 AM PDT","43288.32733935185","0","","","","","","","",""
"7/7/2018 07:51:22.150 AM PDT","43288.32733969907","","0","","","","","","",""
"7/7/2018 07:51:22.190 AM PDT","43288.32734016204","","","0","","","","","",""
"7/7/2018 07:51:22.220 AM PDT","43288.32734050926","","","","0","","","","",""
"7/7/2018 05:32:08.390 PM PDT","43288.73065266204","","","","","","","","1",""
"7/7/2018 05:32:08.470 PM PDT","43288.73065358796","","","","","1","","","",""
"7/7/2018 05:32:08.690 PM PDT","43288.730656134256","","","","","","","","","1"
"7/7/2018 05:32:08.730 PM PDT","43288.730656597225","1","","","","","","","",""
"7/7/2018 05:32:08.800 PM PDT","43288.7306574074","","","1","","","","","",""
"7/7/2018 05:32:08.840 PM PDT","43288.73065787037","","","","1","","","","",""
"7/7/2018 05:32:14.280 PM PDT","43288.73072083334","","","","","","1","1","",""
"7/7/2018 05:32:14.620 PM PDT","43288.730724768524","","1","","","","","","",""
"7/8/2018 03:03:51.020 AM PDT","43289.127673842595","","","","","0","","","",""
"7/8/2018 03:03:51.030 AM PDT","43289.12767395833","","","","","","0","0","",""
"7/8/2018 03:03:51.040 AM PDT","43289.12767407407","","","","","","","","0",""
"7/8/2018 03:03:51.050 AM PDT","43289.12767418982","","","","","","","","","0"
"7/8/2018 03:03:51.090 AM PDT","43289.12767465277","0","","","","","","","",""
"7/8/2018 03:03:51.130 AM PDT","43289.12767511574","","0","","","","","","",""
"7/8/2018 03:03:51.160 AM PDT","43289.127675462965","","","0","","","","","",""
"7/8/2018 03:03:51.200 AM PDT","43289.12767592593","","","","0","","","","",""
"7/8/2018 03:14:34.400 AM PDT","43289.13512037037","","","","","","","","","1"
"7/8/2018 03:14:34.440 AM PDT","43289.135120833336","1","","","","","","","",""
"7/8/2018 03:14:34.550 AM PDT","43289.13512210648","","","1","","","","","",""
"7/8/2018 03:14:34.590 AM PDT","43289.135122569445","","","","1","","","","",""
"7/8/2018 03:14:34.780 AM PDT","43289.13512476852","","","","","1","","","",""
"7/8/2018 03:14:34.800 AM PDT","43289.135125","","","","","","","","1",""
"7/8/2018 03:14:40.540 AM PDT","43289.13519143518","","1","","","","","","",""
"7/8/2018 03:14:40.830 AM PDT","43289.13519479167","","","","","","1","1","",""
"7/8/2018 05:25:48.020 AM PDT","43289.226250231484","","","0","","","","","",""
"7/8/2018 05:25:48.040 AM PDT","43289.22625046296","","","","","0","0","","",""
"7/8/2018 05:25:48.050 AM PDT","43289.22625057871","","","","","","","0","0",""
"7/8/2018 05:25:48.060 AM PDT","43289.226250694446","","","","0","","","","",""
"7/8/2018 05:25:48.350 AM PDT","43289.226254050925","","","","","","","","","0"
"7/8/2018 05:25:48.390 AM PDT","43289.22625451389","0","","","","","","","",""
